0	0	
10	0	
20	0	
30	0	
40	0	
50	0	
60	0	
70	0	
80	0	
90	0	
100	0	
110	0	
120	0	
130	0	
140	0	
150	0	
160	0	
170	0	
180	0	
190	0	
200	0	
210	0	
220	0	
230	0	
240	0	
250	0	
260	0	
270	0	
280	0	
290	0	
300	0	
310	0	
320	0	
330	0	
340	0	
350	0	
360	0	
370	0	
380	0	
390	0	
400	0	
410	0	
420	0	
430	0	
440	0	
450	0	
460	0	
470	0	
480	0	
490	0	
500	0	
510	0	
520	0	
530	0	
540	0	
550	0	
560	0	
570	0	
580	0	
590	0	
600	0	
610	0	
620	0	
630	0	
640	0	
650	0	
660	0	
670	0	
680	0	
690	0	
700	0	
710	0	
720	0	
730	0	
740	0	
750	0	
760	0	
770	0	
780	0	
790	0	
800	0	
810	0	
820	0	
830	0	
840	0	
850	0	
860	0	
870	0	
880	0	
890	0	
900	0	
910	0	
920	0	
930	0	
940	0	
950	1	
960	0	
970	1	
980	0	
990	0	
1000	1	
1010	0	
1020	1	
1030	2	
1040	0	
1050	0	
1060	2	
1070	0	
1080	2	
1090	4	
1100	2	
1110	2	
1120	2	
1130	1	
1140	5	
1150	4	
1160	1	
1170	5	
1180	5	
1190	6	
1200	8	
1210	8	
1220	6	
1230	9	
1240	5	
1250	5	
1260	6	
1270	9	
1280	13	
1290	12	
1300	14	
1310	10	
1320	5	
1330	28	
1340	18	
1350	70	
1360	248	
1370	367	
1380	372	
1390	393	
1400	366	
1410	305	
1420	145	
1430	34	
1440	11	
1450	2	
1460	3	
1470	1	
1480	0	
1490	1	
1500	1	
