0	0	
10	0	
20	0	
30	0	
40	0	
50	0	
60	0	
70	0	
80	0	
90	0	
100	0	
110	0	
120	0	
130	0	
140	0	
150	0	
160	0	
170	0	
180	0	
190	0	
200	0	
210	0	
220	0	
230	0	
240	0	
250	0	
260	0	
270	0	
280	0	
290	0	
300	0	
310	0	
320	0	
330	0	
340	0	
350	0	
360	0	
370	0	
380	0	
390	0	
400	0	
410	0	
420	0	
430	0	
440	0	
450	0	
460	0	
470	0	
480	0	
490	0	
500	0	
510	0	
520	0	
530	0	
540	0	
550	0	
560	0	
570	0	
580	0	
590	0	
600	0	
610	0	
620	0	
630	0	
640	0	
650	0	
660	0	
670	0	
680	0	
690	0	
700	1	
710	0	
720	0	
730	0	
740	0	
750	0	
760	0	
770	0	
780	0	
790	0	
800	0	
810	0	
820	0	
830	0	
840	0	
850	0	
860	0	
870	0	
880	0	
890	0	
900	0	
910	0	
920	0	
930	0	
940	0	
950	0	
960	0	
970	0	
980	2	
990	1	
1000	0	
1010	0	
1020	0	
1030	2	
1040	2	
1050	1	
1060	4	
1070	9	
1080	7	
1090	11	
1100	10	
1110	15	
1120	19	
1130	35	
1140	30	
1150	40	
1160	53	
1170	50	
1180	55	
1190	65	
1200	90	
1210	84	
1220	87	
1230	110	
1240	124	
1250	116	
1260	132	
1270	139	
1280	163	
1290	161	
1300	148	
1310	140	
1320	150	
1330	158	
1340	113	
1350	121	
1360	113	
1370	94	
1380	75	
1390	42	
1400	15	
1410	2	
1420	3	
1430	0	
1440	1	
